implementation,revision,workload,seed,entries,allocated_handles,writers,repeat,seconds,ops,p50_ns,p95_ns,p99_ns,peak_rss_bytes,arena_bytes,bytes_per_handle,result_hash,errors,active_scan_ns,frozen_first_scan_ns,frozen_ready_scan_ns
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,1,0,0.000318917,1024,0,0,0,5947392,155246,151,16340194407465152223,0,271333,244625,243000
candidate,candidate-path-once,ascending,20260920,1024,1024,1,0,0.000245125,1024,0,0,0,5914624,150088,146,16340194407465152223,0,54917,56583,49708
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,1,0,0.000243542,1024,0,0,0,5947392,155246,151,16340194407465152223,0,239208,226958,221167
candidate,candidate-path-once,ascending,20260920,1024,1024,1,0,0.000235291,1024,0,0,0,5881856,150088,146,16340194407465152223,0,54125,56417,49750
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,1,0,0.000319041,1024,0,0,0,5980160,155246,151,16340194407465152223,0,246709,297250,254041
candidate,candidate-path-once,ascending,20260920,1024,1024,1,0,0.000242708,1024,0,0,0,5914624,150088,146,16340194407465152223,0,55334,58541,51459
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,1,0,0.000250834,1024,0,0,0,5931008,155246,151,16340194407465152223,0,248750,238000,243333
candidate,candidate-path-once,ascending,20260920,1024,1024,1,0,0.000250917,1024,0,0,0,5865472,150088,146,16340194407465152223,0,57250,59291,52000
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,1,0,0.000250334,1024,0,0,0,5947392,155246,151,16340194407465152223,0,250208,230500,221250
candidate,candidate-path-once,ascending,20260920,1024,1024,1,0,0.000233167,1024,0,0,0,5881856,150088,146,16340194407465152223,0,57000,56375,49625
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,4,0,0.000264459,1024,0,0,0,6094848,162518,158,16340194407465152223,0,250291,237500,222542
candidate,candidate-path-once,ascending,20260920,1024,1024,4,0,0.0002545,1024,0,0,0,6242304,150088,146,16340194407465152223,0,53291,58292,51417
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,4,0,0.000267291,1024,0,0,0,6144000,162496,158,16340194407465152223,0,248709,238208,234500
candidate,candidate-path-once,ascending,20260920,1024,1024,4,0,0.000261,1024,0,0,0,6144000,150088,146,16340194407465152223,0,54625,57875,51500
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,4,0,0.000267667,1024,0,0,0,6111232,162542,158,16340194407465152223,0,249333,230708,236709
candidate,candidate-path-once,ascending,20260920,1024,1024,4,0,0.000371875,1024,0,0,0,6045696,150088,146,16340194407465152223,0,54584,58250,51625
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,4,0,0.000388542,1024,0,0,0,6012928,162295,158,16340194407465152223,0,248375,243333,240334
candidate,candidate-path-once,ascending,20260920,1024,1024,4,0,0.0002725,1024,0,0,0,6062080,150088,146,16340194407465152223,0,55500,58333,51834
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,4,0,0.000596833,1024,0,0,0,6078464,162374,158,16340194407465152223,0,250000,243417,242500
candidate,candidate-path-once,ascending,20260920,1024,1024,4,0,0.000270542,1024,0,0,0,6225920,150088,146,16340194407465152223,0,54375,57792,51416
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,8,0,0.000724334,1024,0,0,0,6176768,161696,157,16340194407465152223,0,250000,238208,246833
candidate,candidate-path-once,ascending,20260920,1024,1024,8,0,0.000427042,1024,0,0,0,6127616,150088,146,16340194407465152223,0,54875,60250,51458
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,8,0,0.000643208,1024,0,0,0,6225920,162364,158,16340194407465152223,0,250875,242833,234250
candidate,candidate-path-once,ascending,20260920,1024,1024,8,0,0.000406083,1024,0,0,0,6144000,150088,146,16340194407465152223,0,54708,58500,51417
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,8,0,0.000766709,1024,0,0,0,6209536,162328,158,16340194407465152223,0,266333,245250,242792
candidate,candidate-path-once,ascending,20260920,1024,1024,8,0,0.000440333,1024,0,0,0,6078464,150088,146,16340194407465152223,0,73042,59833,51583
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,8,0,0.000786875,1024,0,0,0,6160384,161540,157,16340194407465152223,0,250833,238709,234666
candidate,candidate-path-once,ascending,20260920,1024,1024,8,0,0.000433333,1024,0,0,0,6160384,150088,146,16340194407465152223,0,54375,59250,51500
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,1024,1024,8,0,0.000722708,1024,0,0,0,6144000,161542,157,16340194407465152223,0,250792,243542,236625
candidate,candidate-path-once,ascending,20260920,1024,1024,8,0,0.000430583,1024,0,0,0,6144000,150088,146,16340194407465152223,0,55000,58792,51583
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,random,20260920,1024,1024,1,0,0.000252583,1024,0,0,0,5963776,155257,151,16340194407465152223,0,240917,242583,230167
candidate,candidate-path-once,random,20260920,1024,1024,1,0,0.0002495,1024,0,0,0,5881856,150088,146,16340194407465152223,0,53958,57333,49709
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,random,20260920,1024,1024,1,0,0.00025,1024,0,0,0,5914624,155257,151,16340194407465152223,0,240375,233917,230958
candidate,candidate-path-once,random,20260920,1024,1024,1,0,0.000261417,1024,0,0,0,5865472,150088,146,16340194407465152223,0,58166,58334,49583
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,random,20260920,1024,1024,1,0,0.000276625,1024,0,0,0,5963776,155257,151,16340194407465152223,0,297000,245333,244417
candidate,candidate-path-once,random,20260920,1024,1024,1,0,0.000256458,1024,0,0,0,5881856,150088,146,16340194407465152223,0,58000,58958,51500
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,random,20260920,1024,1024,1,0,0.000257667,1024,0,0,0,5947392,155257,151,16340194407465152223,0,249625,243375,243250
candidate,candidate-path-once,random,20260920,1024,1024,1,0,0.000268708,1024,0,0,0,5898240,150088,146,16340194407465152223,0,57125,58917,51542
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,random,20260920,1024,1024,1,0,0.000268666,1024,0,0,0,5947392,155257,151,16340194407465152223,0,250125,242792,233042
candidate,candidate-path-once,random,20260920,1024,1024,1,0,0.000259583,1024,0,0,0,5914624,150088,146,16340194407465152223,0,61792,59000,51500
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,random,20260920,1024,1024,4,0,0.000287584,1024,0,0,0,6094848,162725,158,16340194407465152223,0,249083,235375,228167
candidate,candidate-path-once,random,20260920,1024,1024,4,0,0.00041625,1024,0,0,0,6012928,150088,146,16340194407465152223,0,55292,58583,51458
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,random,20260920,1024,1024,4,0,0.000559709,1024,0,0,0,6062080,162950,159,16340194407465152223,0,304625,244166,242709
candidate,candidate-path-once,random,20260920,1024,1024,4,0,0.000321792,1024,0,0,0,6127616,150088,146,16340194407465152223,0,56208,58917,51583
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,random,20260920,1024,1024,4,0,0.000273916,1024,0,0,0,6127616,162415,158,16340194407465152223,0,250125,242459,242500
candidate,candidate-path-once,random,20260920,1024,1024,4,0,0.000311958,1024,0,0,0,6144000,150088,146,16340194407465152223,0,55667,58625,82166
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,random,20260920,1024,1024,4,0,0.000436541,1024,0,0,0,6078464,163160,159,16340194407465152223,0,251459,244166,243584
candidate,candidate-path-once,random,20260920,1024,1024,4,0,0.000422666,1024,0,0,0,6078464,150088,146,16340194407465152223,0,54709,58750,51458
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,random,20260920,1024,1024,4,0,0.000311833,1024,0,0,0,6062080,162492,158,16340194407465152223,0,250458,234875,233209
candidate,candidate-path-once,random,20260920,1024,1024,4,0,0.000257625,1024,0,0,0,6111232,150088,146,16340194407465152223,0,55042,58750,51500
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,random,20260920,1024,1024,8,0,0.000748375,1024,0,0,0,6193152,161939,158,16340194407465152223,0,250375,243542,238625
candidate,candidate-path-once,random,20260920,1024,1024,8,0,0.000499333,1024,0,0,0,6176768,150088,146,16340194407465152223,0,55750,59083,51500
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,random,20260920,1024,1024,8,0,0.00075025,1024,0,0,0,6242304,161778,157,16340194407465152223,0,250041,236792,233667
candidate,candidate-path-once,random,20260920,1024,1024,8,0,0.000411125,1024,0,0,0,6045696,150088,146,16340194407465152223,0,54833,59042,51583
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,random,20260920,1024,1024,8,0,0.000765875,1024,0,0,0,6193152,162839,159,16340194407465152223,0,252083,247792,242167
candidate,candidate-path-once,random,20260920,1024,1024,8,0,0.000425083,1024,0,0,0,6127616,150088,146,16340194407465152223,0,55125,59042,51625
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,random,20260920,1024,1024,8,0,0.000722541,1024,0,0,0,6176768,162147,158,16340194407465152223,0,253917,272250,246542
candidate,candidate-path-once,random,20260920,1024,1024,8,0,0.000419084,1024,0,0,0,6029312,150088,146,16340194407465152223,0,55333,58750,51458
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,random,20260920,1024,1024,8,0,0.0008995,1024,0,0,0,6160384,161879,158,16340194407465152223,0,250250,237791,241292
candidate,candidate-path-once,random,20260920,1024,1024,8,0,0.000469542,1024,0,0,0,6209536,150088,146,16340194407465152223,0,57208,58792,51417
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,versions,20260920,1024,1024,1,0,0.000260084,1024,0,0,0,5947392,177049,172,3561195745626025575,0,230583,239458,238209
candidate,candidate-path-once,versions,20260920,1024,1024,1,0,0.000256834,1024,0,0,0,5898240,150088,146,3561195745626025575,0,55875,58791,51584
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,versions,20260920,1024,1024,1,0,0.000258125,1024,0,0,0,5947392,177049,172,3561195745626025575,0,230750,224458,221417
candidate,candidate-path-once,versions,20260920,1024,1024,1,0,0.000243084,1024,0,0,0,5881856,150088,146,3561195745626025575,0,54541,63792,51583
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,versions,20260920,1024,1024,1,0,0.000253416,1024,0,0,0,5963776,177049,172,3561195745626025575,0,231084,226041,228167
candidate,candidate-path-once,versions,20260920,1024,1024,1,0,0.0002575,1024,0,0,0,5881856,150088,146,3561195745626025575,0,56333,58667,51958
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,versions,20260920,1024,1024,1,0,0.000260667,1024,0,0,0,5963776,177049,172,3561195745626025575,0,229000,221458,214875
candidate,candidate-path-once,versions,20260920,1024,1024,1,0,0.000261209,1024,0,0,0,5898240,150088,146,3561195745626025575,0,56583,58708,51625
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,versions,20260920,1024,1024,1,0,0.000271125,1024,0,0,0,5963776,177049,172,3561195745626025575,0,233500,221541,215167
candidate,candidate-path-once,versions,20260920,1024,1024,1,0,0.000265542,1024,0,0,0,5914624,150088,146,3561195745626025575,0,53166,56542,49833
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,versions,20260920,1024,1024,4,0,0.000412875,1024,0,0,0,6094848,187590,183,3561195745626025575,0,239959,231583,226208
candidate,candidate-path-once,versions,20260920,1024,1024,4,0,0.000360959,1024,0,0,0,6045696,150088,146,3561195745626025575,0,55958,58875,51625
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,versions,20260920,1024,1024,4,0,0.000602875,1024,0,0,0,6160384,186741,182,3561195745626025575,0,241333,235584,227416
candidate,candidate-path-once,versions,20260920,1024,1024,4,0,0.0003715,1024,0,0,0,6012928,150088,146,3561195745626025575,0,55875,58875,51500
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,versions,20260920,1024,1024,4,0,0.000270083,1024,0,0,0,6127616,187078,182,3561195745626025575,0,238542,238875,234791
candidate,candidate-path-once,versions,20260920,1024,1024,4,0,0.000279833,1024,0,0,0,6160384,150088,146,3561195745626025575,0,55542,59458,51542
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,versions,20260920,1024,1024,4,0,0.0002865,1024,0,0,0,6144000,187311,182,3561195745626025575,0,238208,224583,214667
candidate,candidate-path-once,versions,20260920,1024,1024,4,0,0.000260125,1024,0,0,0,6160384,150088,146,3561195745626025575,0,60708,58250,54792
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,versions,20260920,1024,1024,4,0,0.000276541,1024,0,0,0,6094848,187311,182,3561195745626025575,0,240292,224250,214542
candidate,candidate-path-once,versions,20260920,1024,1024,4,0,0.000254375,1024,0,0,0,6225920,150088,146,3561195745626025575,0,56292,58750,51625
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,versions,20260920,1024,1024,8,0,0.000897625,1024,0,0,0,6176768,185986,181,3561195745626025575,0,247292,234958,242459
candidate,candidate-path-once,versions,20260920,1024,1024,8,0,0.000315292,1024,0,0,0,6045696,150088,146,3561195745626025575,0,56000,58333,51542
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,versions,20260920,1024,1024,8,0,0.000760166,1024,0,0,0,6225920,185949,181,3561195745626025575,0,239125,240875,236750
candidate,candidate-path-once,versions,20260920,1024,1024,8,0,0.000368,1024,0,0,0,6176768,150088,146,3561195745626025575,0,55959,58916,51667
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,versions,20260920,1024,1024,8,0,0.000685208,1024,0,0,0,6193152,186025,181,3561195745626025575,0,238334,228541,214834
candidate,candidate-path-once,versions,20260920,1024,1024,8,0,0.000479542,1024,0,0,0,6176768,150088,146,3561195745626025575,0,56250,59250,51750
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,versions,20260920,1024,1024,8,0,0.000808416,1024,0,0,0,6225920,186512,182,3561195745626025575,0,237375,223959,217958
candidate,candidate-path-once,versions,20260920,1024,1024,8,0,0.000439375,1024,0,0,0,6094848,150088,146,3561195745626025575,0,56083,58750,51542
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,versions,20260920,1024,1024,8,0,0.000848875,1024,0,0,0,6209536,185851,181,3561195745626025575,0,244000,235458,258250
candidate,candidate-path-once,versions,20260920,1024,1024,8,0,0.000433584,1024,0,0,0,6029312,150088,146,3561195745626025575,0,60041,60167,56042
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,16384,16384,1,0,0.00326879,16384,0,0,0,8454144,2479603,151,10391311361299390019,0,5880583,5734000,5507292
candidate,candidate-path-once,ascending,20260920,16384,16384,1,0,0.00326942,16384,0,0,0,8290304,2401384,146,10391311361299390019,0,873791,956000,810875
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,16384,16384,1,0,0.00340742,16384,0,0,0,8437760,2479603,151,10391311361299390019,0,5605417,5599583,5702750
candidate,candidate-path-once,ascending,20260920,16384,16384,1,0,0.00340996,16384,0,0,0,8290304,2401384,146,10391311361299390019,0,825459,859833,780542
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,16384,16384,1,0,0.00338729,16384,0,0,0,8437760,2479603,151,10391311361299390019,0,5572042,5424167,5788500
candidate,candidate-path-once,ascending,20260920,16384,16384,1,0,0.00341958,16384,0,0,0,8290304,2401384,146,10391311361299390019,0,780375,821709,750625
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,16384,16384,1,0,0.00316658,16384,0,0,0,8454144,2479603,151,10391311361299390019,0,5663500,5468083,5565709
candidate,candidate-path-once,ascending,20260920,16384,16384,1,0,0.00329183,16384,0,0,0,8290304,2401384,146,10391311361299390019,0,851208,922584,820916
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,16384,16384,1,0,0.00336383,16384,0,0,0,8454144,2479603,151,10391311361299390019,0,5898834,5816916,5473000
candidate,candidate-path-once,ascending,20260920,16384,16384,1,0,0.00337192,16384,0,0,0,8306688,2401384,146,10391311361299390019,0,833334,898916,791667
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,16384,16384,4,0,0.00431996,16384,0,0,0,8847360,2597358,158,10391311361299390019,0,6016000,5729958,6358292
candidate,candidate-path-once,ascending,20260920,16384,16384,4,0,0.00187262,16384,0,0,0,8536064,2401384,146,10391311361299390019,0,842500,882167,750208
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,16384,16384,4,0,0.00577229,16384,0,0,0,8683520,2599359,158,10391311361299390019,0,5992542,5604958,5472667
candidate,candidate-path-once,ascending,20260920,16384,16384,4,0,0.00195121,16384,0,0,0,8536064,2401384,146,10391311361299390019,0,838833,866042,785708
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,16384,16384,4,0,0.00316871,16384,0,0,0,8847360,2599575,158,10391311361299390019,0,5602500,5686333,5898333
candidate,candidate-path-once,ascending,20260920,16384,16384,4,0,0.00363317,16384,0,0,0,8470528,2401384,146,10391311361299390019,0,841916,872459,794166
baseline,a53475284915b997e8c9f696afdae1044a51b1f0,ascending,20260920,16384,16384,4,0,0.00799462,16384,0,0,0,8683520,2599730,158,10391311361299390019,0,5790375,6113125,5735625
