variant,revision,workload,seed,entries,allocated_handles,writers,repeat,seconds,ops,p50_ns,p95_ns,p99_ns,peak_rss_bytes,arena_bytes,bytes_per_handle,result_hash,errors,active_scan_ns,frozen_first_scan_ns,frozen_ready_scan_ns,phase,elapsed_ns,index_insert_ns,allocate_and_insert_ns,active_scan_ns_phase,freeze_prepare_ns,first_frozen_scan_ns,ready_frozen_scan_ns
candidate,candidate,random,20260920,131072,131072,1,4,0.0537326,131072,NA,NA,NA,27082752,19657600,149,454339457082336225,0,23212292,27127125,19078958,memtable,53732583,53732583,53732583,23212292,4826541,27127125,19078958
baseline,baseline,random,20260920,131072,131072,1,4,0.0417936,131072,NA,NA,NA,24477696,17678624,134,454339457082336225,0,21004583,25451125,19798042,memtable,41793583,41793583,41793583,21004583,4044458,25451125,19798042
byte,byte,random,20260920,131072,131072,1,4,0.0450403,131072,NA,NA,NA,56999936,50061536,381,454339457082336225,0,15478667,27572458,25436334,memtable,45040333,45040333,45040333,15478667,4446125,27572458,25436334
nibble,nibble,random,20260920,131072,131072,1,4,0.059667,131072,NA,NA,NA,23166976,16369832,124,454339457082336225,0,24938000,26734625,23846500,memtable,59667042,59667042,59667042,24938000,6008250,26734625,23846500
nibble,nibble,random,20260920,131072,131072,4,4,0.0226833,131072,NA,NA,NA,24657920,17460896,133,454339457082336225,0,20561958,30226458,24425250,memtable,22683334,22683334,22683334,20561958,7753875,30226458,24425250
skiplist,skiplist,random,20260920,131072,131072,4,4,0.038744,131072,NA,NA,NA,15122432,8170400,62,454339457082336225,0,14277083,15572000,11957792,memtable,38744000,38744000,38744000,14277083,0,15572000,11957792
baseline,baseline,random,20260920,131072,131072,4,4,0.0259848,131072,NA,NA,NA,26148864,18941264,144,454339457082336225,0,14787583,28604375,23392208,memtable,25984750,25984750,25984750,14787583,3939167,28604375,23392208
candidate,candidate,random,20260920,131072,131072,4,4,0.0240626,131072,NA,NA,NA,28803072,20985176,160,454339457082336225,0,18766542,25353917,22202166,memtable,24062625,24062625,24062625,18766542,3335875,25353917,22202166
nibble,nibble,random,20260920,131072,131072,1,5,0.0606001,131072,NA,NA,NA,23166976,16369832,124,454339457082336225,0,23416875,25833083,26292250,memtable,60600084,60600084,60600084,23416875,5462916,25833083,26292250
byte,byte,random,20260920,131072,131072,1,5,0.0464073,131072,NA,NA,NA,56999936,50061536,381,454339457082336225,0,15880166,31486584,25887416,memtable,46407292,46407292,46407292,15880166,3222416,31486584,25887416
