variant,revision,workload,seed,entries,allocated_handles,writers,repeat,seconds,ops,p50_ns,p95_ns,p99_ns,peak_rss_bytes,arena_bytes,bytes_per_handle,result_hash,errors,active_scan_ns,frozen_first_scan_ns,frozen_ready_scan_ns,phase,elapsed_ns,index_insert_ns,allocate_and_insert_ns,active_scan_ns_phase,freeze_prepare_ns,first_frozen_scan_ns,ready_frozen_scan_ns
nibble,nibble,random,20260920,131072,131072,1,0,0.0249927,131072,NA,NA,NA,24248320,16393368,125,454339457082336225,0,11585208,9216625,6485750,index,24992708,24992708,24992708,11585208,2247166,9216625,6485750
byte,byte,random,20260920,131072,131072,1,0,0.0185855,131072,NA,NA,NA,57933824,49978048,381,454339457082336225,0,8576500,7706000,6374500,index,18585500,18585500,18585500,8576500,1199583,7706000,6374500
vector,vector,random,20260920,131072,131072,1,0,0.00130792,131072,NA,NA,NA,16564224,5433534,41,454339457082336225,0,34081666,33292375,6166667,index,1307917,1307917,1307917,34081666,42,33292375,6166667
candidate,candidate,random,20260920,131072,131072,1,0,0.0157286,131072,NA,NA,NA,29786112,21952696,167,454339457082336225,0,8136750,7336375,6181500,index,15728625,15728625,15728625,8136750,1111000,7336375,6181500
nibble,nibble,random,20260920,131072,131072,1,0,0.0344622,131072,NA,NA,NA,23183360,16369832,124,454339457082336225,0,8194583,7732500,6202250,memtable,34462250,34462250,34462250,8194583,1523750,7732500,6202250
byte,byte,random,20260920,131072,131072,1,0,0.0310775,131072,NA,NA,NA,56999936,50061536,381,454339457082336225,0,9998083,12363042,9185500,memtable,31077542,31077542,31077542,9998083,1697958,12363042,9185500
vector,vector,random,20260920,131072,131072,1,0,0.0135044,131072,NA,NA,NA,15466496,5433534,41,454339457082336225,0,33969459,33311458,6261875,memtable,13504416,13504416,13504416,33969459,41,33311458,6261875
candidate,candidate,random,20260920,131072,131072,1,0,0.0288671,131072,NA,NA,NA,28721152,21934192,167,454339457082336225,0,8272417,8819667,6902416,memtable,28867125,28867125,28867125,8272417,1515000,8819667,6902416
candidate,candidate,random,20260920,131072,131072,4,0,0.0124867,131072,NA,NA,NA,30523392,23469440,179,454339457082336225,0,8518125,9057708,6847708,memtable,12486709,12486709,12486709,8518125,1559292,9057708,6847708
skiplist,skiplist,random,20260920,131072,131072,4,0,0.0180446,131072,NA,NA,NA,15220736,8133992,62,454339457082336225,0,6251209,6219833,6178208,memtable,18044583,18044583,18044583,6251209,0,6219833,6178208
byte,byte,random,20260920,131072,131072,4,0,0.0233083,131072,NA,NA,NA,58621952,51237600,390,454339457082336225,0,8931334,9538958,6552500,memtable,23308333,23308333,23308333,8931334,1561458,9538958,6552500
nibble,nibble,random,20260920,131072,131072,4,0,0.0144415,131072,NA,NA,NA,24428544,17346040,132,454339457082336225,0,11240541,12790292,11389542,memtable,14441542,14441542,14441542,11240541,2953500,12790292,11389542
candidate,candidate,random,20260920,131072,131072,8,0,0.0156899,131072,NA,NA,NA,30638080,23533736,179,454339457082336225,0,8726916,9623250,7161125,memtable,15689875,15689875,15689875,8726916,1700167,9623250,7161125
skiplist,skiplist,random,20260920,131072,131072,8,0,0.0188736,131072,NA,NA,NA,15433728,8174768,62,454339457082336225,0,6905292,6335625,6175250,memtable,18873625,18873625,18873625,6905292,0,6335625,6175250
byte,byte,random,20260920,131072,131072,8,0,0.0231295,131072,NA,NA,NA,58638336,51302472,391,454339457082336225,0,9520000,8387084,6392291,memtable,23129458,23129458,23129458,9520000,1207125,8387084,6392291
nibble,nibble,random,20260920,131072,131072,8,0,0.0144517,131072,NA,NA,NA,24772608,17455752,133,454339457082336225,0,8721125,8395542,6729750,memtable,14451708,14451708,14451708,8721125,1868208,8395542,6729750
candidate,candidate,random,20260920,131072,131072,1,0,0.0159585,131072,NA,NA,NA,29753344,21952696,167,454339457082336225,0,8652625,7481416,6178125,index,15958542,15958542,15958542,8652625,1226000,7481416,6178125
vector,vector,random,20260920,131072,131072,1,0,0.00122067,131072,NA,NA,NA,16547840,5433534,41,454339457082336225,0,33603916,33290500,6174834,index,1220667,1220667,1220667,33603916,42,33290500,6174834
byte,byte,random,20260920,131072,131072,1,0,0.0174126,131072,NA,NA,NA,57933824,49978048,381,454339457082336225,0,7733750,7212041,6226125,index,17412584,17412584,17412584,7733750,1011291,7212041,6226125
nibble,nibble,random,20260920,131072,131072,1,0,0.0217533,131072,NA,NA,NA,24231936,16393368,125,454339457082336225,0,9004166,7722959,6176916,index,21753334,21753334,21753334,9004166,1536625,7722959,6176916
candidate,candidate,random,20260920,131072,131072,1,0,0.0291342,131072,NA,NA,NA,28704768,21934192,167,454339457082336225,0,8351459,8875041,6705709,memtable,29134208,29134208,29134208,8351459,1590125,8875041,6705709
vector,vector,random,20260920,131072,131072,1,0,0.0131938,131072,NA,NA,NA,15417344,5433534,41,454339457082336225,0,33551709,33231750,6165250,memtable,13193833,13193833,13193833,33551709,41,33231750,6165250
byte,byte,random,20260920,131072,131072,1,0,0.0300912,131072,NA,NA,NA,57016320,50061536,381,454339457082336225,0,9499209,11066291,7686250,memtable,30091166,30091166,30091166,9499209,1560750,11066291,7686250
nibble,nibble,random,20260920,131072,131072,1,0,0.0350003,131072,NA,NA,NA,23166976,16369832,124,454339457082336225,0,8267875,7709292,6184083,memtable,35000333,35000333,35000333,8267875,1520500,7709292,6184083
nibble,nibble,random,20260920,131072,131072,4,0,0.0117923,131072,NA,NA,NA,24576000,17442080,133,454339457082336225,0,8209041,7938875,6238334,memtable,11792334,11792334,11792334,8209041,1680250,7938875,6238334
byte,byte,random,20260920,131072,131072,4,0,0.0222116,131072,NA,NA,NA,58441728,51238064,390,454339457082336225,0,8684958,8860292,6486042,memtable,22211625,22211625,22211625,8684958,1269459,8860292,6486042
skiplist,skiplist,random,20260920,131072,131072,4,0,0.0167927,131072,NA,NA,NA,15138816,8131792,62,454339457082336225,0,6289708,6390250,6214083,memtable,16792750,16792750,16792750,6289708,0,6390250,6214083
candidate,candidate,random,20260920,131072,131072,4,0,0.0115136,131072,NA,NA,NA,30523392,23529864,179,454339457082336225,0,8405416,8813625,6840209,memtable,11513625,11513625,11513625,8405416,1498833,8813625,6840209
nibble,nibble,random,20260920,131072,131072,8,0,0.0150118,131072,NA,NA,NA,24788992,17456832,133,454339457082336225,0,8781667,8191125,6352791,memtable,15011833,15011833,15011833,8781667,1763041,8191125,6352791
byte,byte,random,20260920,131072,131072,8,0,0.033238,131072,NA,NA,NA,58638336,51314424,391,454339457082336225,0,9334541,10412959,7456708,memtable,33238042,33238042,33238042,9334541,1820750,10412959,7456708
skiplist,skiplist,random,20260920,131072,131072,8,0,0.017634,131072,NA,NA,NA,15466496,8178560,62,454339457082336225,0,6297042,6191000,6173792,memtable,17633958,17633958,17633958,6297042,42,6191000,6173792
candidate,candidate,random,20260920,131072,131072,8,0,0.0160242,131072,NA,NA,NA,30736384,23517648,179,454339457082336225,0,8096792,8791416,6724917,memtable,16024167,16024167,16024167,8096792,1477917,8791416,6724917
nibble,nibble,random,20260920,131072,131072,1,0,0.0215691,131072,NA,NA,NA,24231936,16393368,125,454339457082336225,0,9253666,9484709,6443208,index,21569125,21569125,21569125,9253666,2628291,9484709,6443208
byte,byte,random,20260920,131072,131072,1,0,0.0175704,131072,NA,NA,NA,57933824,49978048,381,454339457082336225,0,7768917,7314792,6238375,index,17570416,17570416,17570416,7768917,1066917,7314792,6238375
vector,vector,random,20260920,131072,131072,1,0,0.001242,131072,NA,NA,NA,16564224,5433534,41,454339457082336225,0,34212083,33387250,6026959,index,1242000,1242000,1242000,34212083,42,33387250,6026959
candidate,candidate,random,20260920,131072,131072,1,0,0.0159289,131072,NA,NA,NA,29818880,21952696,167,454339457082336225,0,8441083,8689209,6416375,index,15928875,15928875,15928875,8441083,1128292,8689209,6416375
nibble,nibble,random,20260920,131072,131072,1,0,0.0390986,131072,NA,NA,NA,23166976,16369832,124,454339457082336225,0,10865583,11622750,8197959,memtable,39098625,39098625,39098625,10865583,3095125,11622750,8197959
