implementation,revision,workload,seed,entries,allocated_handles,writers,repeat,seconds,ops,p50_ns,p95_ns,p99_ns,peak_rss_bytes,arena_bytes,bytes_per_handle,result_hash,errors,active_scan_ns,frozen_first_scan_ns,frozen_ready_scan_ns,phase,elapsed_ns,index_insert_ns,allocate_and_insert_ns,active_scan_ns_phase,freeze_prepare_ns,first_frozen_scan_ns,ready_frozen_scan_ns
vector,fdece4e,ascending,20260920,1024,1024,1,0,0.000241875,1024,NA,NA,NA,5849088,42436,41,16340194407465152223,0,77375,66000,51417,all,437084,241875,241875,77375,417,66000,51417
skiplist,fdece4e,ascending,20260920,1024,1024,1,0,0.00033325,1024,NA,NA,NA,5767168,60824,59,16340194407465152223,0,52791,51334,51291,all,488666,333250,333250,52791,0,51334,51291
radix,fdece4e,ascending,20260920,1024,1024,1,0,0.000286916,1024,NA,NA,NA,5898240,181072,176,16340194407465152223,0,56167,54208,49500,all,451416,286916,286916,56167,4625,54208,49500
radix,fdece4e,ascending,20260920,1024,1024,1,0,0.000257792,1024,NA,NA,NA,5914624,181072,176,16340194407465152223,0,54333,56667,69083,all,442875,257792,257792,54333,5000,56667,69083
vector,fdece4e,ascending,20260920,1024,1024,1,0,0.000159833,1024,NA,NA,NA,5832704,42436,41,16340194407465152223,0,68833,65500,51334,all,345542,159833,159833,68833,42,65500,51334
skiplist,fdece4e,ascending,20260920,1024,1024,1,0,0.000392292,1024,NA,NA,NA,5783552,60632,59,16340194407465152223,0,53917,51375,51291,all,548875,392292,392292,53917,0,51375,51291
vector,fdece4e,ascending,20260920,1024,1024,1,0,0.000162458,1024,NA,NA,NA,5865472,42436,41,16340194407465152223,0,70708,65375,51375,all,349916,162458,162458,70708,0,65375,51375
skiplist,fdece4e,ascending,20260920,1024,1024,1,0,0.000317708,1024,NA,NA,NA,5783552,60792,59,16340194407465152223,0,55709,51333,51208,all,475958,317708,317708,55709,0,51333,51208
radix,fdece4e,ascending,20260920,1024,1024,1,0,0.000648208,1024,NA,NA,NA,5931008,181072,176,16340194407465152223,0,207875,125792,90708,all,1107625,648208,648208,207875,35042,125792,90708
radix,fdece4e,ascending,20260920,1024,1024,1,0,0.000260875,1024,NA,NA,NA,5914624,181072,176,16340194407465152223,0,53500,54291,49500,all,422791,260875,260875,53500,4625,54291,49500
vector,fdece4e,ascending,20260920,1024,1024,1,0,0.000174917,1024,NA,NA,NA,5881856,42436,41,16340194407465152223,0,78375,64458,49500,all,367292,174917,174917,78375,42,64458,49500
skiplist,fdece4e,ascending,20260920,1024,1024,1,0,0.000370792,1024,NA,NA,NA,5799936,61016,59,16340194407465152223,0,57250,51458,51334,all,530876,370792,370792,57250,42,51458,51334
vector,fdece4e,ascending,20260920,1024,1024,1,0,0.000163958,1024,NA,NA,NA,5832704,42436,41,16340194407465152223,0,71208,63125,49417,all,347708,163958,163958,71208,0,63125,49417
skiplist,fdece4e,ascending,20260920,1024,1024,1,0,0.000310041,1024,NA,NA,NA,5783552,60960,59,16340194407465152223,0,53209,49458,49417,all,462166,310041,310041,53209,41,49458,49417
radix,fdece4e,ascending,20260920,1024,1024,1,0,0.000259375,1024,NA,NA,NA,5865472,181072,176,16340194407465152223,0,54916,61500,51459,all,431917,259375,259375,54916,4667,61500,51459
radix,fdece4e,ascending,20260920,1024,1024,4,0,0.000252208,1024,NA,NA,NA,6144000,197384,192,16340194407465152223,0,54542,56417,51375,all,419584,252208,252208,54542,5042,56417,51375
vector,fdece4e,ascending,20260920,1024,1024,4,0,0.000350792,1024,NA,NA,NA,6062080,43691,42,16340194407465152223,0,381292,182625,51291,all,966042,350792,350792,381292,42,182625,51291
skiplist,fdece4e,ascending,20260920,1024,1024,4,0,0.000262958,1024,NA,NA,NA,6012928,63640,62,16340194407465152223,0,52500,48250,48209,all,411959,262958,262958,52500,42,48250,48209
vector,fdece4e,ascending,20260920,1024,1024,4,0,0.000421542,1024,NA,NA,NA,6029312,43711,42,16340194407465152223,0,182416,170375,51417,all,825750,421542,421542,182416,0,170375,51417
skiplist,fdece4e,ascending,20260920,1024,1024,4,0,0.000279125,1024,NA,NA,NA,5914624,63208,61,16340194407465152223,0,50041,48292,48208,all,425708,279125,279125,50041,42,48292,48208
radix,fdece4e,ascending,20260920,1024,1024,4,0,0.000310833,1024,NA,NA,NA,6144000,194768,190,16340194407465152223,0,55250,56625,51292,all,479000,310833,310833,55250,5000,56625,51292
radix,fdece4e,ascending,20260920,1024,1024,4,0,0.000283291,1024,NA,NA,NA,6127616,196784,192,16340194407465152223,0,65334,57208,51417,all,462875,283291,283291,65334,5625,57208,51417
vector,fdece4e,ascending,20260920,1024,1024,4,0,0.000252583,1024,NA,NA,NA,6242304,43711,42,16340194407465152223,0,188167,171583,48334,all,660708,252583,252583,188167,41,171583,48334
skiplist,fdece4e,ascending,20260920,1024,1024,4,0,0.000452,1024,NA,NA,NA,5881856,63760,62,16340194407465152223,0,86208,84042,83750,all,706000,452000,452000,86208,0,84042,83750
vector,fdece4e,ascending,20260920,1024,1024,4,0,0.00026025,1024,NA,NA,NA,6176768,43691,42,16340194407465152223,0,178167,174125,51292,all,663959,260250,260250,178167,125,174125,51292
skiplist,fdece4e,ascending,20260920,1024,1024,4,0,0.000269375,1024,NA,NA,NA,5914624,63560,62,16340194407465152223,0,52333,51334,51291,all,424375,269375,269375,52333,42,51334,51291
radix,fdece4e,ascending,20260920,1024,1024,4,0,0.000532833,1024,NA,NA,NA,6029312,193488,188,16340194407465152223,0,113250,83209,51458,all,810041,532833,532833,113250,29291,83209,51458
radix,fdece4e,ascending,20260920,1024,1024,4,0,0.000262333,1024,NA,NA,NA,6094848,199464,194,16340194407465152223,0,54458,56584,51291,all,429708,262333,262333,54458,5042,56584,51291
vector,fdece4e,ascending,20260920,1024,1024,4,0,0.000280958,1024,NA,NA,NA,6209536,43691,42,16340194407465152223,0,178834,169583,51417,all,680792,280958,280958,178834,0,169583,51417
skiplist,fdece4e,ascending,20260920,1024,1024,4,0,0.000410417,1024,NA,NA,NA,5914624,63960,62,16340194407465152223,0,52833,51459,51291,all,566042,410417,410417,52833,42,51459,51291
radix,fdece4e,ascending,20260920,1024,1024,8,0,0.000386125,1024,NA,NA,NA,6160384,203320,198,16340194407465152223,0,54250,56625,51375,all,553583,386125,386125,54250,5208,56625,51375
vector,fdece4e,ascending,20260920,1024,1024,8,0,0.000336417,1024,NA,NA,NA,6111232,43631,42,16340194407465152223,0,174875,162541,53000,all,726874,336417,336417,174875,41,162541,53000
skiplist,fdece4e,ascending,20260920,1024,1024,8,0,0.000340625,1024,NA,NA,NA,6045696,63544,62,16340194407465152223,0,52459,51291,51334,all,495709,340625,340625,52459,0,51291,51334
vector,fdece4e,ascending,20260920,1024,1024,8,0,0.000380958,1024,NA,NA,NA,6176768,43671,42,16340194407465152223,0,370958,352375,84500,all,1188833,380958,380958,370958,42,352375,84500
skiplist,fdece4e,ascending,20260920,1024,1024,8,0,0.000390709,1024,NA,NA,NA,5996544,64008,62,16340194407465152223,0,52750,51583,51292,all,546375,390709,390709,52750,41,51583,51292
radix,fdece4e,ascending,20260920,1024,1024,8,0,0.000396084,1024,NA,NA,NA,6078464,199520,194,16340194407465152223,0,55958,56333,51334,all,564500,396084,396084,55958,4791,56333,51334
radix,fdece4e,ascending,20260920,1024,1024,8,0,0.000498417,1024,NA,NA,NA,6127616,199208,194,16340194407465152223,0,121125,117292,87125,all,850875,498417,498417,121125,26916,117292,87125
vector,fdece4e,ascending,20260920,1024,1024,8,0,0.000316084,1024,NA,NA,NA,6193152,43590,42,16340194407465152223,0,174791,159250,48375,all,698542,316084,316084,174791,42,159250,48375
skiplist,fdece4e,ascending,20260920,1024,1024,8,0,0.000304042,1024,NA,NA,NA,6029312,63504,62,16340194407465152223,0,52375,52583,51250,all,460250,304042,304042,52375,0,52583,51250
vector,fdece4e,ascending,20260920,1024,1024,8,0,0.000309542,1024,NA,NA,NA,6127616,43691,42,16340194407465152223,0,175541,167417,50333,all,702833,309542,309542,175541,0,167417,50333
skiplist,fdece4e,ascending,20260920,1024,1024,8,0,0.000307958,1024,NA,NA,NA,5996544,63936,62,16340194407465152223,0,52333,51292,51333,all,462916,307958,307958,52333,0,51292,51333
radix,fdece4e,ascending,20260920,1024,1024,8,0,0.000352584,1024,NA,NA,NA,6209536,200264,195,16340194407465152223,0,54625,56833,51333,all,520792,352584,352584,54625,5417,56833,51333
radix,fdece4e,ascending,20260920,1024,1024,8,0,0.000516917,1024,NA,NA,NA,6209536,200568,195,16340194407465152223,0,68083,57292,52000,all,700250,516917,516917,68083,5958,57292,52000
vector,fdece4e,ascending,20260920,1024,1024,8,0,0.00033625,1024,NA,NA,NA,6193152,43671,42,16340194407465152223,0,178458,169958,51542,all,736208,336250,336250,178458,0,169958,51542
skiplist,fdece4e,ascending,20260920,1024,1024,8,0,0.000327708,1024,NA,NA,NA,6062080,63824,62,16340194407465152223,0,52750,51334,51250,all,483042,327708,327708,52750,0,51334,51250
vector,fdece4e,random,20260920,1024,1024,1,0,0.000173625,1024,NA,NA,NA,5865472,42436,41,16340194407465152223,0,185250,176875,51375,all,587250,173625,173625,185250,125,176875,51375
skiplist,fdece4e,random,20260920,1024,1024,1,0,0.000346042,1024,NA,NA,NA,5767168,61024,59,16340194407465152223,0,52958,49459,49458,all,497959,346042,346042,52958,42,49459,49458
radix,fdece4e,random,20260920,1024,1024,1,0,0.000287333,1024,NA,NA,NA,5865472,183304,179,16340194407465152223,0,57042,56333,51542,all,456916,287333,287333,57042,4666,56333,51542
radix,fdece4e,random,20260920,1024,1024,1,0,0.000274,1024,NA,NA,NA,5865472,183304,179,16340194407465152223,0,54833,53875,49500,all,436583,274000,274000,54833,4375,53875,49500
vector,fdece4e,random,20260920,1024,1024,1,0,0.000184584,1024,NA,NA,NA,5849088,42436,41,16340194407465152223,0,179041,174667,49583,all,587875,184584,184584,179041,0,174667,49583
skiplist,fdece4e,random,20260920,1024,1024,1,0,0.000329916,1024,NA,NA,NA,5799936,60816,59,16340194407465152223,0,53084,49500,49375,all,481875,329916,329916,53084,0,49500,49375
vector,fdece4e,random,20260920,1024,1024,1,0,0.0001575,1024,NA,NA,NA,5849088,42436,41,16340194407465152223,0,174708,166500,48209,all,547000,157500,157500,174708,83,166500,48209
skiplist,fdece4e,random,20260920,1024,1024,1,0,0.000386542,1024,NA,NA,NA,5767168,61016,59,16340194407465152223,0,104750,64250,52000,all,607542,386542,386542,104750,0,64250,52000
radix,fdece4e,random,20260920,1024,1024,1,0,0.000304458,1024,NA,NA,NA,5898240,183304,179,16340194407465152223,0,58709,54416,49584,all,471751,304458,304458,58709,4584,54416,49584
radix,fdece4e,random,20260920,1024,1024,1,0,0.000282709,1024,NA,NA,NA,5865472,183304,179,16340194407465152223,0,57041,55959,51333,all,451459,282709,282709,57041,4417,55959,51333
vector,fdece4e,random,20260920,1024,1024,1,0,0.000212958,1024,NA,NA,NA,5865472,42436,41,16340194407465152223,0,190750,176792,51416,all,632291,212958,212958,190750,375,176792,51416
skiplist,fdece4e,random,20260920,1024,1024,1,0,0.000322125,1024,NA,NA,NA,5783552,60888,59,16340194407465152223,0,52916,49417,49375,all,473833,322125,322125,52916,0,49417,49375
vector,fdece4e,random,20260920,1024,1024,1,0,0.000178125,1024,NA,NA,NA,5865472,42436,41,16340194407465152223,0,185542,172166,52667,all,588542,178125,178125,185542,42,172166,52667
skiplist,fdece4e,random,20260920,1024,1024,1,0,0.0003505,1024,NA,NA,NA,5799936,60768,59,16340194407465152223,0,53667,55500,51333,all,511000,350500,350500,53667,0,55500,51333
radix,fdece4e,random,20260920,1024,1024,1,0,0.000308041,1024,NA,NA,NA,5898240,183304,179,16340194407465152223,0,54709,54000,49541,all,470624,308041,308041,54709,4333,54000,49541
radix,fdece4e,random,20260920,1024,1024,4,0,0.00042125,1024,NA,NA,NA,6012928,198544,193,16340194407465152223,0,118125,118459,84333,all,775834,421250,421250,118125,33667,118459,84333
vector,fdece4e,random,20260920,1024,1024,4,0,0.000260541,1024,NA,NA,NA,6209536,43691,42,16340194407465152223,0,173542,165750,48250,all,648083,260541,260541,173542,0,165750,48250
skiplist,fdece4e,random,20260920,1024,1024,4,0,0.000247125,1024,NA,NA,NA,6062080,63464,61,16340194407465152223,0,52500,51333,51250,all,402250,247125,247125,52500,42,51333,51250
vector,fdece4e,random,20260920,1024,1024,4,0,0.000257709,1024,NA,NA,NA,6176768,43691,42,16340194407465152223,0,182916,170542,48292,all,659543,257709,257709,182916,84,170542,48292
skiplist,fdece4e,random,20260920,1024,1024,4,0,0.000531792,1024,NA,NA,NA,5865472,63104,61,16340194407465152223,0,52500,51291,51292,all,686916,531792,531792,52500,41,51291,51292
radix,fdece4e,random,20260920,1024,1024,4,0,0.000269584,1024,NA,NA,NA,6111232,197592,192,16340194407465152223,0,54416,56334,51333,all,436584,269584,269584,54416,4917,56334,51333
radix,fdece4e,random,20260920,1024,1024,4,0,0.000283917,1024,NA,NA,NA,6193152,197384,192,16340194407465152223,0,54958,57000,52125,all,453000,283917,283917,54958,5000,57000,52125
vector,fdece4e,random,20260920,1024,1024,4,0,0.000340708,1024,NA,NA,NA,6029312,43691,42,16340194407465152223,0,192292,177792,51666,all,762458,340708,340708,192292,0,177792,51666
skiplist,fdece4e,random,20260920,1024,1024,4,0,0.000248959,1024,NA,NA,NA,6012928,63456,61,16340194407465152223,0,52375,51333,51292,all,403959,248959,248959,52375,0,51333,51292
vector,fdece4e,random,20260920,1024,1024,4,0,0.000334542,1024,NA,NA,NA,6176768,43691,42,16340194407465152223,0,183000,172208,55584,all,745376,334542,334542,183000,42,172208,55584
skiplist,fdece4e,random,20260920,1024,1024,4,0,0.000364,1024,NA,NA,NA,5931008,63072,61,16340194407465152223,0,52583,51334,51291,all,519208,364000,364000,52583,0,51334,51291
radix,fdece4e,random,20260920,1024,1024,4,0,0.00033375,1024,NA,NA,NA,6193152,198152,193,16340194407465152223,0,57791,56334,51416,all,504208,333750,333750,57791,4917,56334,51416
radix,fdece4e,random,20260920,1024,1024,4,0,0.000297667,1024,NA,NA,NA,6242304,197768,193,16340194407465152223,0,54750,56250,51333,all,464791,297667,297667,54750,4791,56250,51333
vector,fdece4e,random,20260920,1024,1024,4,0,0.000278917,1024,NA,NA,NA,6062080,43691,42,16340194407465152223,0,186708,169375,48333,all,683375,278917,278917,186708,42,169375,48333
skiplist,fdece4e,random,20260920,1024,1024,4,0,0.00026625,1024,NA,NA,NA,5931008,64464,62,16340194407465152223,0,52583,51334,51208,all,421417,266250,266250,52583,42,51334,51208
radix,fdece4e,random,20260920,1024,1024,8,0,0.000407583,1024,NA,NA,NA,6193152,198608,193,16340194407465152223,0,58500,56958,51417,all,580041,407583,407583,58500,5583,56958,51417
vector,fdece4e,random,20260920,1024,1024,8,0,0.000344167,1024,NA,NA,NA,6225920,43671,42,16340194407465152223,0,183500,171416,49584,all,748709,344167,344167,183500,42,171416,49584
skiplist,fdece4e,random,20260920,1024,1024,8,0,0.000405041,1024,NA,NA,NA,6029312,64368,62,16340194407465152223,0,53292,51333,51250,all,560958,405041,405041,53292,42,51333,51250
vector,fdece4e,random,20260920,1024,1024,8,0,0.000291833,1024,NA,NA,NA,6144000,43610,42,16340194407465152223,0,186917,169292,48333,all,696417,291833,291833,186917,42,169292,48333
skiplist,fdece4e,random,20260920,1024,1024,8,0,0.000362,1024,NA,NA,NA,6029312,64144,62,16340194407465152223,0,52375,51375,51292,all,517042,362000,362000,52375,0,51375,51292
radix,fdece4e,random,20260920,1024,1024,8,0,0.000309375,1024,NA,NA,NA,6127616,197792,193,16340194407465152223,0,54417,56333,51417,all,476501,309375,309375,54417,4959,56333,51417
radix,fdece4e,random,20260920,1024,1024,8,0,0.000354625,1024,NA,NA,NA,6160384,199408,194,16340194407465152223,0,55125,56459,51333,all,522584,354625,354625,55125,5042,56459,51333
vector,fdece4e,random,20260920,1024,1024,8,0,0.000337,1024,NA,NA,NA,6160384,43671,42,16340194407465152223,0,184416,172667,49625,all,743750,337000,337000,184416,42,172667,49625
skiplist,fdece4e,random,20260920,1024,1024,8,0,0.000379083,1024,NA,NA,NA,6045696,64432,62,16340194407465152223,0,53084,51333,51333,all,534874,379083,379083,53084,41,51333,51333
vector,fdece4e,random,20260920,1024,1024,8,0,0.000353167,1024,NA,NA,NA,6176768,43671,42,16340194407465152223,0,184375,168833,51834,all,758209,353167,353167,184375,0,168833,51834
skiplist,fdece4e,random,20260920,1024,1024,8,0,0.000493041,1024,NA,NA,NA,6062080,63696,62,16340194407465152223,0,54084,51375,51291,all,649791,493041,493041,54084,0,51375,51291
radix,fdece4e,random,20260920,1024,1024,8,0,0.000350041,1024,NA,NA,NA,6127616,200112,195,16340194407465152223,0,54542,56333,51250,all,517124,350041,350041,54542,4958,56333,51250
radix,fdece4e,random,20260920,1024,1024,8,0,0.000421375,1024,NA,NA,NA,6160384,197336,192,16340194407465152223,0,56041,56292,51375,all,590000,421375,421375,56041,4917,56292,51375
vector,fdece4e,random,20260920,1024,1024,8,0,0.000301375,1024,NA,NA,NA,6209536,43671,42,16340194407465152223,0,175500,166500,48333,all,691833,301375,301375,175500,125,166500,48333
skiplist,fdece4e,random,20260920,1024,1024,8,0,0.000347292,1024,NA,NA,NA,6029312,64576,63,16340194407465152223,0,52625,51375,51208,all,502542,347292,347292,52625,42,51375,51208
vector,fdece4e,versions,20260920,1024,1024,1,0,0.000163083,1024,NA,NA,NA,5849088,42436,41,3561195745626025575,0,213292,240250,51583,all,668333,163083,163083,213292,125,240250,51583
skiplist,fdece4e,versions,20260920,1024,1024,1,0,0.000338666,1024,NA,NA,NA,5783552,60840,59,3561195745626025575,0,53459,49541,49542,all,491208,338666,338666,53459,0,49541,49542
radix,fdece4e,versions,20260920,1024,1024,1,0,0.000321916,1024,NA,NA,NA,5865472,160832,157,3561195745626025575,0,55292,57250,51458,all,491499,321916,321916,55292,5583,57250,51458
radix,fdece4e,versions,20260920,1024,1024,1,0,0.000318542,1024,NA,NA,NA,5849088,160832,157,3561195745626025575,0,59667,57541,51417,all,492959,318542,318542,59667,5792,57541,51417
vector,fdece4e,versions,20260920,1024,1024,1,0,0.000153417,1024,NA,NA,NA,5865472,42436,41,3561195745626025575,0,181708,169917,48333,all,553417,153417,153417,181708,42,169917,48333
skiplist,fdece4e,versions,20260920,1024,1024,1,0,0.000360667,1024,NA,NA,NA,5783552,60856,59,3561195745626025575,0,52458,51542,51291,all,515958,360667,360667,52458,0,51542,51291
vector,fdece4e,versions,20260920,1024,1024,1,0,0.000151916,1024,NA,NA,NA,5865472,42436,41,3561195745626025575,0,182834,175958,49792,all,560542,151916,151916,182834,42,175958,49792
skiplist,fdece4e,versions,20260920,1024,1024,1,0,0.000400125,1024,NA,NA,NA,5816320,60912,59,3561195745626025575,0,53875,51500,51417,all,556959,400125,400125,53875,42,51500,51417
radix,fdece4e,versions,20260920,1024,1024,1,0,0.000295542,1024,NA,NA,NA,5865472,160832,157,3561195745626025575,0,55583,56417,49625,all,462709,295542,295542,55583,5542,56417,49625
radix,fdece4e,versions,20260920,1024,1024,1,0,0.000316541,1024,NA,NA,NA,5849088,160832,157,3561195745626025575,0,56250,54959,49583,all,482667,316541,316541,56250,5334,54959,49583
vector,fdece4e,versions,20260920,1024,1024,1,0,0.000198042,1024,NA,NA,NA,5865472,42436,41,3561195745626025575,0,194875,188750,49583,all,631292,198042,198042,194875,42,188750,49583
skiplist,fdece4e,versions,20260920,1024,1024,1,0,0.000354792,1024,NA,NA,NA,5783552,60960,59,3561195745626025575,0,54541,49542,49583,all,508458,354792,354792,54541,0,49542,49583
vector,fdece4e,versions,20260920,1024,1024,1,0,0.00016025,1024,NA,NA,NA,5849088,42436,41,3561195745626025575,0,188250,169250,48459,all,566251,160250,160250,188250,42,169250,48459
skiplist,fdece4e,versions,20260920,1024,1024,1,0,0.000409666,1024,NA,NA,NA,5767168,61240,59,3561195745626025575,0,56209,51541,51334,all,568750,409666,409666,56209,0,51541,51334
radix,fdece4e,versions,20260920,1024,1024,1,0,0.000291167,1024,NA,NA,NA,5881856,160832,157,3561195745626025575,0,55416,55000,49584,all,456501,291167,291167,55416,5334,55000,49584
radix,fdece4e,versions,20260920,1024,1024,4,0,0.000424958,1024,NA,NA,NA,6012928,171352,167,3561195745626025575,0,58375,57917,51458,all,599083,424958,424958,58375,6375,57917,51458
vector,fdece4e,versions,20260920,1024,1024,4,0,0.000257917,1024,NA,NA,NA,6176768,43691,42,3561195745626025575,0,196458,177500,48375,all,680292,257917,257917,196458,42,177500,48375
skiplist,fdece4e,versions,20260920,1024,1024,4,0,0.000562083,1024,NA,NA,NA,5914624,63552,62,3561195745626025575,0,99042,86500,97958,all,845583,562083,562083,99042,0,86500,97958
vector,fdece4e,versions,20260920,1024,1024,4,0,0.000249458,1024,NA,NA,NA,6193152,43691,42,3561195745626025575,0,195792,178250,48417,all,671958,249458,249458,195792,41,178250,48417
skiplist,fdece4e,versions,20260920,1024,1024,4,0,0.00027275,1024,NA,NA,NA,5963776,64032,62,3561195745626025575,0,52958,51417,51458,all,428583,272750,272750,52958,0,51417,51458
radix,fdece4e,versions,20260920,1024,1024,4,0,0.000380416,1024,NA,NA,NA,6012928,170712,166,3561195745626025575,0,57917,57625,51458,all,553416,380416,380416,57917,6000,57625,51458
radix,fdece4e,versions,20260920,1024,1024,4,0,0.000263,1024,NA,NA,NA,6045696,186744,182,3561195745626025575,0,57084,57958,51500,all,435917,263000,263000,57084,6375,57958,51500
vector,fdece4e,versions,20260920,1024,1024,4,0,0.000286958,1024,NA,NA,NA,6045696,43691,42,3561195745626025575,0,194834,186125,51333,all,719291,286958,286958,194834,41,186125,51333
skiplist,fdece4e,versions,20260920,1024,1024,4,0,0.000260917,1024,NA,NA,NA,6078464,63432,61,3561195745626025575,0,53833,51500,51333,all,417583,260917,260917,53833,0,51500,51333
vector,fdece4e,versions,20260920,1024,1024,4,0,0.000391125,1024,NA,NA,NA,6029312,43691,42,3561195745626025575,0,192708,183584,51416,all,818958,391125,391125,192708,125,183584,51416
skiplist,fdece4e,versions,20260920,1024,1024,4,0,0.000512625,1024,NA,NA,NA,5931008,63144,61,3561195745626025575,0,97667,86583,86250,all,783125,512625,512625,97667,0,86583,86250
radix,fdece4e,versions,20260920,1024,1024,4,0,0.0003355,1024,NA,NA,NA,5980160,171136,167,3561195745626025575,0,57041,58209,51541,all,508958,335500,335500,57041,6667,58209,51541
radix,fdece4e,versions,20260920,1024,1024,4,0,0.000399917,1024,NA,NA,NA,5996544,167888,163,3561195745626025575,0,66500,58791,51709,all,584083,399917,399917,66500,7166,58791,51709
vector,fdece4e,versions,20260920,1024,1024,4,0,0.000394542,1024,NA,NA,NA,6029312,43691,42,3561195745626025575,0,200708,184542,51458,all,831333,394542,394542,200708,83,184542,51458
skiplist,fdece4e,versions,20260920,1024,1024,4,0,0.000259084,1024,NA,NA,NA,6078464,63832,62,3561195745626025575,0,52708,51417,51416,all,414625,259084,259084,52708,0,51417,51416
radix,fdece4e,versions,20260920,1024,1024,8,0,0.0003785,1024,NA,NA,NA,6127616,171040,167,3561195745626025575,0,58083,57959,51458,all,552458,378500,378500,58083,6458,57959,51458
vector,fdece4e,versions,20260920,1024,1024,8,0,0.000295917,1024,NA,NA,NA,6144000,43631,42,3561195745626025575,0,193125,176375,48375,all,713792,295917,295917,193125,0,176375,48375
skiplist,fdece4e,versions,20260920,1024,1024,8,0,0.00031225,1024,NA,NA,NA,6045696,63576,62,3561195745626025575,0,52666,51500,51334,all,467792,312250,312250,52666,42,51500,51334
vector,fdece4e,versions,20260920,1024,1024,8,0,0.000331875,1024,NA,NA,NA,6242304,43651,42,3561195745626025575,0,195250,181209,49583,all,758042,331875,331875,195250,125,181209,49583
skiplist,fdece4e,versions,20260920,1024,1024,8,0,0.000312458,1024,NA,NA,NA,6029312,64232,62,3561195745626025575,0,52584,51416,51459,all,467917,312458,312458,52584,0,51416,51459
radix,fdece4e,versions,20260920,1024,1024,8,0,0.000588458,1024,NA,NA,NA,6029312,159160,155,3561195745626025575,0,153333,136542,87250,all,1015000,588458,588458,153333,49417,136542,87250
radix,fdece4e,versions,20260920,1024,1024,8,0,0.000373792,1024,NA,NA,NA,6127616,171736,167,3561195745626025575,0,57292,57958,51625,all,547083,373792,373792,57292,6416,57958,51625
vector,fdece4e,versions,20260920,1024,1024,8,0,0.000328125,1024,NA,NA,NA,6127616,43630,42,3561195745626025575,0,195084,180916,53084,all,757209,328125,328125,195084,0,180916,53084
skiplist,fdece4e,versions,20260920,1024,1024,8,0,0.0003295,1024,NA,NA,NA,6012928,63912,62,3561195745626025575,0,52459,51458,51417,all,484834,329500,329500,52459,0,51458,51417
vector,fdece4e,versions,20260920,1024,1024,8,0,0.000334708,1024,NA,NA,NA,6176768,43671,42,3561195745626025575,0,197750,182583,49584,all,764625,334708,334708,197750,0,182583,49584
skiplist,fdece4e,versions,20260920,1024,1024,8,0,0.000615167,1024,NA,NA,NA,6029312,63424,61,3561195745626025575,0,54708,111125,78459,all,859501,615167,615167,54708,42,111125,78459
radix,fdece4e,versions,20260920,1024,1024,8,0,0.000334583,1024,NA,NA,NA,6127616,173448,169,3561195745626025575,0,57042,58000,51458,all,507542,334583,334583,57042,6459,58000,51458
radix,fdece4e,versions,20260920,1024,1024,8,0,0.00039,1024,NA,NA,NA,6062080,169384,165,3561195745626025575,0,56209,57541,51417,all,561126,390000,390000,56209,5959,57541,51417
vector,fdece4e,versions,20260920,1024,1024,8,0,0.000300958,1024,NA,NA,NA,6340608,43651,42,3561195745626025575,0,193875,180042,55583,all,730458,300958,300958,193875,0,180042,55583
skiplist,fdece4e,versions,20260920,1024,1024,8,0,0.000366917,1024,NA,NA,NA,6029312,63616,62,3561195745626025575,0,52792,51500,51375,all,522584,366917,366917,52792,0,51500,51375
vector,fdece4e,ascending,20260920,16384,16384,1,0,0.00205712,16384,NA,NA,NA,7143424,679171,41,10391311361299390019,0,1555625,1051625,829583,all,5494000,2057125,2057125,1555625,42,1051625,829583
skiplist,fdece4e,ascending,20260920,16384,16384,1,0,0.00549788,16384,NA,NA,NA,6848512,970024,59,10391311361299390019,0,824792,798125,845042,all,7965834,5497875,5497875,824792,0,798125,845042
radix,fdece4e,ascending,20260920,16384,16384,1,0,0.00355492,16384,NA,NA,NA,8749056,2910392,177,10391311361299390019,0,837167,863791,780709,all,6110167,3554917,3554917,837167,73583,863791,780709
radix,fdece4e,ascending,20260920,16384,16384,1,0,0.00361396,16384,NA,NA,NA,8765440,2910392,177,10391311361299390019,0,820833,846958,797334,all,6152042,3613959,3613959,820833,72958,846958,797334
vector,fdece4e,ascending,20260920,16384,16384,1,0,0.00178629,16384,NA,NA,NA,7012352,679171,41,10391311361299390019,0,1044083,1015042,772750,all,4618250,1786292,1786292,1044083,83,1015042,772750
skiplist,fdece4e,ascending,20260920,16384,16384,1,0,0.00606604,16384,NA,NA,NA,6815744,969136,59,10391311361299390019,0,818542,821792,801666,all,8508083,6066041,6066041,818542,42,821792,801666
vector,fdece4e,ascending,20260920,16384,16384,1,0,0.00179642,16384,NA,NA,NA,7012352,679171,41,10391311361299390019,0,1085292,1055500,826750,all,4764000,1796416,1796416,1085292,42,1055500,826750
skiplist,fdece4e,ascending,20260920,16384,16384,1,0,0.00587367,16384,NA,NA,NA,6848512,969408,59,10391311361299390019,0,782167,773750,828166,all,8257750,5873667,5873667,782167,0,773750,828166
radix,fdece4e,ascending,20260920,16384,16384,1,0,0.00362725,16384,NA,NA,NA,8749056,2910392,177,10391311361299390019,0,823667,860458,771583,all,6168500,3627250,3627250,823667,85542,860458,771583
