gate,implementation,phase,writers,median_elapsed_ns,median_arena_bytes,result_hash,errors
B0-index,Vector,index,1,1220333,5433534,454339457082336225,0
B0-index,Radix,index,1,25266958,16392728,454339457082336225,0
B0-memtable,Vector,memtable,1,13170625,5433534,454339457082336225,0
B0-memtable,Radix,memtable,1,38468500,16370216,454339457082336225,0
B1-4,SkipList,memtable,4,19564042,8098152,454339457082336225,0
B1-4,Radix,memtable,4,16172084,17428608,454339457082336225,0
B1-8,SkipList,memtable,8,17617083,8153008,454339457082336225,0
B1-8,Radix,memtable,8,16026125,17451304,454339457082336225,0
